,Mean,Median,Max,Officers Maxed
all_data_0.5_0_100.0%,3.128166685242613,2.833221071992246,9.53565623174717,0
fall_0.5_0_100.0%,3.081357765057712,2.7358372997626357,12.276016814346256,0
spring_0.5_0_100.0%,3.035202546316165,2.660671331104677,10.824886350926468,0
winter_0.5_0_100.0%,3.056118761122286,2.700045670896144,9.09253942610014,0
summer_0.5_0_100.0%,3.1627763522662073,2.8619274050231773,10.824886350926468,0
all_data_worst_case_0_100.0%,3.2622028303790365,2.888604024009843,10.40573918500752,0
spring_worst_case_0_100.0%,3.1889426794192173,2.8146758919805643,10.087314054208553,0
summer_worst_case_0_100.0%,3.364616790770565,2.9558753899113928,10.294873426373545,0
winter_worst_case_0_100.0%,3.1564371309075137,2.7696356891645024,10.781465259050295,0
fall_worst_case_0_100.0%,3.243528278811636,2.9345942436029686,10.161020977543593,0
Median_overall,5.453954004188692,3.081357765057712,12.276016814346256,0
Worst_Case_Overall,5.487301723409384,3.243528278811636,10.781465259050295,0
