District,2010 Murders,2011 Murders
1,1,1
2,19,15
3,28,36
4,31,19
5,29,27
6,40,36
7,40,60
8,36,28
9,28,31
10,30,30
11,50,43
12,8,10
13,7,4
14,3,6
15,18,19
16,5,3
17,6,8
18,2,3
19,0,4
20,2,5
21,2,5
22,23,15
23,5,4
24,7,4
25,16,17
